Category,Ethnicity,Academic Yr,Perc FR,FilteredCountFR
Applicants,Unknown,2021,3.01%,3393
Applicants,White,2021,20.56%,23198
Applicants,International,2021,18.59%,20981
Applicants,Hispanic/Latinx,2021,19.04%,21484
Applicants,Asian,2021,32.64%,36827
Applicants,American Indian,2021,0.32%,365
Applicants,African American,2021,5.84%,6587
Applicants,All,2021,100.00%,112835
Applicants,Unknown,2020,3.41%,3006
Applicants,White,2020,19.80%,17440
Applicants,International,2020,19.42%,17105
Applicants,Hispanic/Latinx,2020,17.92%,15780
Applicants,Asian,2020,34.05%,29987
Applicants,American Indian,2020,0.33%,292
Applicants,African American,2020,5.06%,4454
Applicants,All,2020,100.00%,88064
Applicants,Unknown,2019,3.04%,2655
Applicants,White,2019,20.61%,18013
Applicants,International,2019,19.49%,17035
Applicants,Hispanic/Latinx,2019,18.17%,15877
Applicants,Asian,2019,33.31%,29116
Applicants,American Indian,2019,0.39%,338
Applicants,African American,2019,4.99%,4364
Applicants,All,2019,100.00%,87398
Applicants,Unknown,2018,3.40%,3046
Applicants,White,2018,21.10%,18911
Applicants,International,2018,19.04%,17064
Applicants,Hispanic/Latinx,2018,18.18%,16293
Applicants,Asian,2018,32.55%,29170
Applicants,American Indian,2018,0.43%,382
Applicants,African American,2018,5.29%,4743
Applicants,All,2018,100.00%,89609
Applicants,Unknown,2017,3.11%,2643
Applicants,White,2017,23.58%,20053
Applicants,International,2017,18.15%,15434
Applicants,Hispanic/Latinx,2017,18.68%,15883
Applicants,Asian,2017,30.77%,26166
Applicants,American Indian,2017,0.50%,427
Applicants,African American,2017,5.22%,4439
Applicants,All,2017,100.00%,85045
Applicants,Unknown,2016,3.30%,2728
Applicants,White,2016,24.11%,19905
Applicants,International,2016,18.94%,15633
Applicants,Hispanic/Latinx,2016,17.83%,14724
Applicants,Asian,2016,30.19%,24928
Applicants,American Indian,2016,0.51%,422
Applicants,African American,2016,5.11%,4220
Applicants,All,2016,100.00%,82560
Applicants,Unknown,2015,3.16%,2494
Applicants,White,2015,23.81%,18781
Applicants,International,2015,19.05%,15027
Applicants,Hispanic/Latinx,2015,17.57%,13865
Applicants,Asian,2015,30.88%,24365
Applicants,American Indian,2015,0.53%,417
Applicants,African American,2015,5.00%,3944
Applicants,All,2015,100.00%,78893
Applicants,Unknown,2014,2.80%,2066
Applicants,White,2014,24.12%,17795
Applicants,International,2014,18.59%,13719
Applicants,Hispanic/Latinx,2014,17.78%,13122
Applicants,Asian,2014,31.31%,23099
Applicants,American Indian,2014,0.60%,444
Applicants,African American,2014,4.80%,3540
Applicants,All,2014,100.00%,73785
Applicants,Unknown,2013,3.04%,2059
Applicants,White,2013,24.90%,16859
Applicants,International,2013,17.13%,11601
Applicants,Hispanic/Latinx,2013,18.20%,12321
Applicants,Asian,2013,31.25%,21157
Applicants,American Indian,2013,0.48%,328
Applicants,African American,2013,4.99%,3381
Applicants,All,2013,100.00%,67706
Applicants,Unknown,2012,2.77%,1708
Applicants,White,2012,24.96%,15406
Applicants,International,2012,15.29%,9434
Applicants,Hispanic/Latinx,2012,18.01%,11117
Applicants,Asian,2012,33.31%,20555
Applicants,American Indian,2012,0.60%,368
Applicants,African American,2012,5.07%,3129
Applicants,All,2012,100.00%,61717
Applicants,Unknown,2011,2.41%,1279
Applicants,White,2011,27.56%,14604
Applicants,International,2011,11.95%,6330
Applicants,Hispanic/Latinx,2011,17.79%,9427
Applicants,Asian,2011,34.66%,18365
Applicants,American Indian,2011,0.62%,330
Applicants,African American,2011,5.00%,2647
Applicants,All,2011,100.00%,52982
Applicants,Unknown,2010,5.40%,2721
Applicants,White,2010,28.13%,14170
Applicants,International,2010,9.78%,4929
Applicants,Hispanic/Latinx,2010,16.30%,8209
Applicants,Asian,2010,34.41%,17332
Applicants,American Indian,2010,0.70%,352
Applicants,African American,2010,5.28%,2661
Applicants,All,2010,100.00%,50374
Admits,Unknown,2021,4.08%,665
Admits,White,2021,20.04%,3265
Admits,International,2021,10.38%,1691
Admits,Hispanic/Latinx,2021,22.06%,3595
