Category,Ethnicity,Academic Yr,Perc FR,FilteredCountFR
Applicants,Unknown,2021,2.60%,2265
Applicants,White,2021,18.94%,16505
Applicants,International,2021,19.07%,16618
Applicants,Hispanic/Latinx,2021,22.43%,19543
Applicants,Asian,2021,31.68%,27609
Applicants,American Indian,2021,0.33%,288
Applicants,African American,2021,4.94%,4308
Applicants,All,2021,100.00%,87136
Applicants,Unknown,2020,3.00%,2308
Applicants,White,2020,17.81%,13693
Applicants,International,2020,20.49%,15755
Applicants,Hispanic/Latinx,2020,22.37%,17206
Applicants,Asian,2020,31.65%,24338
Applicants,American Indian,2020,0.33%,256
Applicants,African American,2020,4.35%,3347
Applicants,All,2020,100.00%,76903
Applicants,Unknown,2019,2.51%,1959
Applicants,White,2019,18.39%,14360
Applicants,International,2019,21.16%,16522
Applicants,Hispanic/Latinx,2019,22.44%,17526
Applicants,Asian,2019,30.76%,24024
Applicants,American Indian,2019,0.35%,277
Applicants,African American,2019,4.39%,3425
Applicants,All,2019,100.00%,78093
Applicants,Unknown,2018,2.83%,2208
Applicants,White,2018,18.96%,14797
Applicants,International,2018,19.87%,15507
Applicants,Hispanic/Latinx,2018,22.74%,17741
Applicants,Asian,2018,30.63%,23902
Applicants,American Indian,2018,0.43%,334
Applicants,African American,2018,4.53%,3535
Applicants,All,2018,100.00%,78024
Applicants,Unknown,2017,2.57%,1824
Applicants,White,2017,20.29%,14399
Applicants,International,2017,19.63%,13926
Applicants,Hispanic/Latinx,2017,22.51%,15972
Applicants,Asian,2017,29.97%,21262
Applicants,American Indian,2017,0.47%,332
Applicants,African American,2017,4.57%,3240
Applicants,All,2017,100.00%,70955
Applicants,Unknown,2016,2.72%,1865
Applicants,White,2016,20.85%,14295
Applicants,International,2016,19.75%,13536
Applicants,Hispanic/Latinx,2016,21.70%,14876
Applicants,Asian,2016,29.91%,20503
Applicants,American Indian,2016,0.46%,313
Applicants,African American,2016,4.61%,3162
Applicants,All,2016,100.00%,68550
