Category,Ethnicity,Academic Yr,Perc FR,FilteredCountFR
Applicants,Unknown,2021,2.75%,3831
Applicants,White,2021,21.16%,29520
Applicants,International,2021,15.68%,21877
Applicants,Hispanic/Latinx,2021,23.24%,32417
Applicants,Asian,2021,30.29%,42256
Applicants,American Indian,2021,0.38%,533
Applicants,African American,2021,6.49%,9048
Applicants,All,2021,100.00%,139482
Applicants,Unknown,2020,3.28%,3567
Applicants,White,2020,20.15%,21941
Applicants,International,2020,16.43%,17889
Applicants,Hispanic/Latinx,2020,22.28%,24259
Applicants,Asian,2020,31.82%,34639
Applicants,American Indian,2020,0.42%,456
Applicants,African American,2020,5.62%,6119
Applicants,All,2020,100.00%,108870
Applicants,Unknown,2019,2.81%,3129
Applicants,White,2019,20.92%,23286
Applicants,International,2019,16.76%,18652
Applicants,Hispanic/Latinx,2019,22.27%,24788
Applicants,Asian,2019,31.18%,34707
Applicants,American Indian,2019,0.41%,451
Applicants,African American,2019,5.67%,6308
Applicants,All,2019,100.00%,111321
Applicants,Unknown,2018,3.09%,3515
Applicants,White,2018,21.02%,23908
Applicants,International,2018,17.07%,19419
Applicants,Hispanic/Latinx,2018,22.54%,25635
Applicants,Asian,2018,29.98%,34103
Applicants,American Indian,2018,0.45%,517
Applicants,African American,2018,5.85%,6658
Applicants,All,2018,100.00%,113755
Applicants,Unknown,2017,2.90%,2965
Applicants,White,2017,22.09%,22578
Applicants,International,2017,17.43%,17813
Applicants,Hispanic/Latinx,2017,22.61%,23111
Applicants,Asian,2017,28.78%,29419
Applicants,American Indian,2017,0.50%,514
Applicants,African American,2017,5.70%,5826
Applicants,All,2017,100.00%,102226
Applicants,Unknown,2016,3.02%,2930
Applicants,White,2016,22.51%,21861
Applicants,International,2016,18.02%,17496
Applicants,Hispanic/Latinx,2016,21.69%,21060
Applicants,Asian,2016,28.56%,27732
Applicants,American Indian,2016,0.51%,492
Applicants,African American,2016,5.71%,5541
Applicants,All,2016,100.00%,97112
Applicants,Unknown,2015,3.01%,2788
Applicants,White,2015,22.68%,21023
Applicants,International,2015,17.68%,16387
Applicants,Hispanic/Latinx,2015,21.11%,19569
Applicants,Asian,2015,29.30%,27161
Applicants,American Indian,2015,0.52%,478
Applicants,African American,2015,5.70%,5284
Applicants,All,2015,100.00%,92690
Applicants,Unknown,2014,2.58%,2229
Applicants,White,2014,23.03%,19927
Applicants,International,2014,17.34%,15003
Applicants,Hispanic/Latinx,2014,21.27%,18410
Applicants,Asian,2014,29.82%,25805
Applicants,American Indian,2014,0.58%,506
Applicants,African American,2014,5.38%,4657
Applicants,All,2014,100.00%,86537
Applicants,Unknown,2013,2.81%,2266
Applicants,White,2013,23.19%,18673
Applicants,International,2013,16.02%,12899
Applicants,Hispanic/Latinx,2013,21.99%,17706
Applicants,Asian,2013,29.98%,24138
Applicants,American Indian,2013,0.53%,428
Applicants,African American,2013,5.46%,4395
Applicants,All,2013,100.00%,80505
Applicants,Unknown,2012,2.50%,1815
Applicants,White,2012,23.49%,17070
Applicants,International,2012,13.59%,9877
Applicants,Hispanic/Latinx,2012,21.67%,15748
Applicants,Asian,2012,32.56%,23666
Applicants,American Indian,2012,0.58%,420
Applicants,African American,2012,5.61%,4080
Applicants,All,2012,100.00%,72676
Applicants,Unknown,2011,2.31%,1423
Applicants,White,2011,26.08%,16052
Applicants,International,2011,9.46%,5826
Applicants,Hispanic/Latinx,2011,21.75%,13390
Applicants,Asian,2011,34.41%,21181
Applicants,American Indian,2011,0.59%,361
Applicants,African American,2011,5.40%,3323
Applicants,All,2011,100.00%,61556
Applicants,Unknown,2010,5.15%,2967
Applicants,White,2010,26.87%,15493
Applicants,International,2010,7.25%,4182
Applicants,Hispanic/Latinx,2010,19.82%,11428
Applicants,Asian,2010,34.65%,19978
Applicants,American Indian,2010,0.68%,392
Applicants,African American,2010,5.58%,3218
Applicants,All,2010,100.00%,57658
Admits,Unknown,2021,4.30%,646
Admits,White,2021,23.10%,3471
Admits,International,2021,13.13%,1973
Admits,Hispanic/Latinx,2021,17.31%,2602
Admits,Asian,2021,35.47%,5331
Admits,American Indian,2021,0.69%,104
Admits,African American,2021,6.00%,901
Admits,All,2021,100.00%,15028
Admits,Unknown,2020,4.85%,756
Admits,White,2020,23.66%,3691
Admits,International,2020,10.60%,1654
Admits,Hispanic/Latinx,2020,15.57%,2430
Admits,Asian,2020,39.98%,6238
Admits,American Indian,2020,0.53%,83
Admits,African American,2020,4.81%,750
Admits,All,2020,100.00%,15602
Admits,Unknown,2019,4.08%,560
Admits,White,2019,23.80%,3266
Admits,International,2019,11.41%,1565
Admits,Hispanic/Latinx,2019,16.41%,2251
Admits,Asian,2019,38.26%,5249
Admits,American Indian,2019,0.69%,95
