Category,Ethnicity,Academic Yr,Perc FR,FilteredCountFR
Applicants,Unknown,2021,2.71%,2860
Applicants,White,2021,24.93%,26333
Applicants,International,2021,16.62%,17559
Applicants,Hispanic/Latinx,2021,22.68%,23953
Applicants,Asian,2021,27.85%,29417
Applicants,American Indian,2021,0.39%,416
Applicants,African American,2021,4.82%,5093
Applicants,All,2021,100.00%,105631
Applicants,Unknown,2020,3.08%,2801
Applicants,White,2020,22.24%,20226
Applicants,International,2020,18.30%,16648
Applicants,Hispanic/Latinx,2020,23.30%,21195
Applicants,Asian,2020,28.29%,25730
Applicants,American Indian,2020,0.44%,399
Applicants,African American,2020,4.36%,3962
Applicants,All,2020,100.00%,90961
Applicants,Unknown,2019,2.61%,2435
Applicants,White,2019,22.67%,21185
Applicants,International,2019,18.28%,17078
Applicants,Hispanic/Latinx,2019,23.90%,22330
Applicants,Asian,2019,27.71%,25895
Applicants,American Indian,2019,0.40%,375
Applicants,African American,2019,4.44%,4148
Applicants,All,2019,100.00%,93446
Applicants,Unknown,2018,2.89%,2671
Applicants,White,2018,23.12%,21340
Applicants,International,2018,17.39%,16051
Applicants,Hispanic/Latinx,2018,24.68%,22783
Applicants,Asian,2018,26.92%,24846
Applicants,American Indian,2018,0.48%,447
Applicants,African American,2018,4.52%,4168
Applicants,All,2018,100.00%,92306
Applicants,Unknown,2017,2.73%,2234
Applicants,White,2017,24.53%,20075
Applicants,International,2017,17.77%,14541
Applicants,Hispanic/Latinx,2017,24.73%,20232
Applicants,Asian,2017,25.22%,20636
Applicants,American Indian,2017,0.55%,448
Applicants,African American,2017,4.47%,3658
Applicants,All,2017,100.00%,81824
Applicants,Unknown,2016,2.85%,2198
Applicants,White,2016,24.95%,19239
Applicants,International,2016,17.21%,13267
Applicants,Hispanic/Latinx,2016,24.53%,18915
Applicants,Asian,2016,25.29%,19503
Applicants,American Indian,2016,0.55%,426
Applicants,African American,2016,4.62%,3559
Applicants,All,2016,100.00%,77107
Applicants,Unknown,2015,2.92%,2062
Applicants,White,2015,25.55%,18023
Applicants,International,2015,15.47%,10913
Applicants,Hispanic/Latinx,2015,24.69%,17418
Applicants,Asian,2015,25.94%,18298
Applicants,American Indian,2015,0.65%,462
Applicants,African American,2015,4.76%,3360
Applicants,All,2015,100.00%,70536
Applicants,Unknown,2014,2.53%,1690
Applicants,White,2014,27.13%,18127
Applicants,International,2014,13.94%,9312
